origin_id,destination_id,shortest_distance
"382","3",6076.99878386795
"383","3",6557.57379917694
"384","3",7035.63418825609
"385","1",11469.6832044212
"386","1",11469.6832044212
"387","48",14370.0964922331
"388","48",14286.5806772226
"389","48",14288.1915657891
"390","48",13740.4034894263
"391","48",14923.2465625101
"392","48",15059.4083271735
"393","48",15346.4786917553
"394","48",17397.611930676
"395","48",16718.0107150234
"396","48",19158.4471704414
"397","48",18491.15487899
"398","48",18387.8761669778
"399","48",18997.2092122903
"400","78",14257.0929606017
"401","90",11683.0996337469
"402","90",11666.4932674566
"403","90",11660.1123613738
"404","1",15905.1258904772
"405","1",15905.1258904772
"406","1",15905.1258904772
"407","1",15905.1258904772
"408","1",15905.1258904772
"409","1",15905.1258904772
"410","1",15905.1258904772
"411","1",15905.1258904772
"412","90",6734.34254981306
"413","90",6081.02986492834
"414","3",5772.36234082092
"415","3",5545.39168380582
"416","3",5460.10606247472
"417","3",5108.78773266015
"418","3",5141.14726639293
"419","3",6634.40664121223
"420","3",7036.03447513537
"421","3",4547.80046509724
"422","3",5600.10825612973
"423","3",6083.98887890636
"424","3",7329.54912819087
"425","3",6514.14393368366
"426","3",6841.35347817079
"427","48",14652.6815986421
"428","48",14407.069060414
"429","48",13430.2183410668
"430","48",13191.5263409198
"431","48",15470.9237297362
"432","48",17211.7774574014
"433","48",16514.4077597906
"434","48",17265.9634453101
"435","48",17080.4511493084
"436","48",17601.0895039969
"437","48",18630.8889986293
"438","48",18825.0006544633
"439","78",13758.8628467709
"440","90",11648.7759233022
"441","90",11246.0293544117
"442","90",11230.2504086319
"443","90",11282.5796834457
"444","1",15527.5932125491
"445","1",15527.5932125491
"446","1",15527.5932125491
"447","1",15527.5932125491
"448","1",15527.5932125491
"449","1",15527.5932125491
"450","1",15527.5932125491
"451","90",6215.72272287117
"452","90",5685.02275860838
"453","90",5657.16794418852
"454","3",5322.3583964609
"455","3",4959.68482927582
"456","3",4884.07153523224
"457","3",4875.74691998093
"458","3",7182.76649635869
"459","3",4349.19731545263
"460","3",4062.65556455202
"461","3",4593.11517515401
"462","3",4982.76220121216
"463","3",6159.87073868077
"464","3",6026.11435418969
"465","3",7150.42276851508
"466","3",7471.40172273148
"467","3",7374.35611235504
"468","48",15121.9047767281
"469","48",14862.8034317663
"470","48",13057.5713640768
"471","48",16873.8821308213
"472","48",16480.5962014877
"473","48",19773.4659337449
"474","48",19252.6389374792
"475","48",19241.9286411535
"476","78",13262.0484319064
"477","90",11747.5010234841
"478","90",11105.8620858119
"479","90",10789.5856261344
"480","90",10800.5455341864
"481","90",11022.8183157218
"482","1",15267.8318448251
"483","1",15267.8318448251
"484","1",15267.8318448251
"485","1",15267.8318448251
"486","1",15267.8318448251
"487","90",7361.53988120835
